Ankle Start: 3.00 degrees.  Hip start: 3.00 degrees.
Number of successful configurations: 33
Ankle Torque |   Hip Torque
-145.8348 | -145.8348
-145.9348 | -145.9348
-146.0348 | -146.0348
-146.1348 | -146.1348
-146.2348 | -146.2348
-146.2348 | -146.3348
-146.3348 | -146.3348
-146.4348 | -146.4348
-146.4348 | -146.5348
-146.5348 | -146.6348
-146.6348 | -146.7348
-146.7348 | -146.8348
-146.8348 | -146.9348
-146.9348 | -147.0348
-147.0348 | -147.1348
-147.1348 | -147.2348
-147.2348 | -55.7172
-55.8172 | -55.7552
-55.8552 | -55.7932
-55.8932 | -55.8312
-55.9312 | -55.8692
-55.9692 | -56.0692
-55.9072 | -56.0072
-56.1072 | -55.9452
-56.0452 | -56.1452
-56.0832 | -56.1832
-56.1212 | -56.2212
-56.1592 | -56.2592
-56.1972 | -56.2972
-56.2352 | -56.3352
-56.2732 | -56.3732
-56.3112 | -56.4112
-56.3492 | -56.4492
